system:index,landcover,19-1_swir2,19-2_swir2,20-1_swir2,20-2_swir2,21-1_swir2,21-2_swir2,22-1_swir2,22-2_swir2,23-1_swir2,23-2_swir2
000000000000000004d9_0,0,0.1178,0.0819,0.09635,0.0543,0.0527,0.0532,0.07505,0.0444,0.0559,0.0468
00000000000000000567_0,0,0.1234,0.1279,0.1689,0.1168,0.1275,0.1243,0.1056,0.1074,0.1815,0.1292
000000000000000005cd_0,0,0.1962,0.15815,0.1427,0.1597,0.2241,0.12325,0.1225,0.1268,0.11,0.148
000000000000000000d7_0,0,0.0086,0.0071,0.0085,0.0108,0.0103,0.0111,0.0137,0.0202,0.0212,0.0167
00000000000000000211_0,0,0.20095,0.17,0.1475,0.1786,0.2242,0.1733,0.2821,0.1524,0.2543,0.1617
00000000000000000687_0,0,0.1048,0.07765,0.0995,0.19095,0.1759,0.10245,0.1287,0.11105,0.1384,0.2553
000000000000000001a1_0,0,0.0053,0.00765,0.0052,0.0139,0.0057,0.01505,0.0163,0.0076,0.014,0.0051
00000000000000000471_0,0,0.0277,0.0405,0.0256999999999999,0.0217,0.02785,0.0211,0.02795,0.0198,0.0262,0.0177
0000000000000000053f_0,0,0.148,0.07835,0.08185,0.0769,0.1537,0.0985,0.10235,0.0979,0.1121,0.15995
00000000000000000977_0,0,0.1619,0.14565,0.19405,0.2127,0.2847,0.1936,0.15725,0.18935,0.1663,0.1446
00000000000000000978_0,0,0.0431,0.01935,0.019,0.0346,0.0176,0.0193,0.0219,0.0417,0.0515,0.0251
00000000000000000a2f_0,0,0.0473,0.0373,0.0947,0.0274,0.0263,0.0283,0.04,0.0336,0.0767,0.03035
00000000000000000109_0,0,0.1871,0.16215,0.167,0.1534,0.17795,0.176,0.18295,0.1609,0.1786,0.1375
0000000000000000015e_0,0,0.20645,0.145,0.1788,0.1901,0.2148499999999999,0.1893,0.1539,0.145,0.1498499999999999,0.14615
000000000000000001d9_0,0,0.01625,0.01175,0.0054,0.011,0.0077,0.0241,0.0138,0.0258,0.0147,0.0167
0000000000000000064a_0,0,0.0239,0.00615,0.0062,0.0105,0.0057,0.0052,0.0103,0.0182,0.0167,0.0046
00000000000000000871_0,0,0.0082,0.0153,0.0097,0.0176,0.01105,0.0156,0.0306999999999999,0.0157,0.01575,0.0147
0000000000000000010b_0,0,0.1458,0.0918,0.1408,0.1125,0.1171,0.0934,0.1174,0.07825,0.1268,0.0782
00000000000000000589_0,0,0.1074,0.1629,0.15265,0.1076,0.1287,0.11485,0.1594,0.13235,0.1166,0.1422
0000000000000000083c_0,0,0.1137,0.1162,0.189,0.1628,0.22615,0.1416,0.1738,0.1183,0.1523,0.0579
00000000000000000150_0,0,0.1262,0.1039,0.1337,0.11295,0.10975,0.1408,0.12155,0.1304,0.12505,0.1003
000000000000000004cd_0,0,0.1536,0.1531,0.19095,0.13,0.1329,0.13905,0.16385,0.1208,0.1538,0.0865
0000000000000000028b_0,0,0.0734,0.0112,0.0209,0.0302,0.00995,0.0159,0.0159,0.0324,0.0216,0.0113
000000000000000001c5_0,0,0.1697,0.1381,0.186,0.1586,0.24955,0.1524,0.2234,0.1814,0.2206,0.2112
000000000000000005a4_0,0,0.1145,0.12775,0.1721,0.096,0.11595,0.1193,0.0859,0.1249,0.1763,0.1111
000000000000000006ac_0,0,0.004,0.01065,0.0054,0.0165,0.00555,0.0132,0.00965,0.0252,0.0104,0.005
000000000000000000a6_0,0,0.1229,0.08785,0.10425,0.11,0.1201,0.1025,0.1213,0.127,0.13775,0.09515
00000000000000000575_0,0,0.1391,0.12065,0.1379,0.12145,0.13405,0.1444,0.1558,0.22415,0.1099,0.0962
00000000000000000640_0,0,0.0284,0.0097,0.0101,0.012,0.0091,0.0075,0.008,0.0132,0.0126,0.0071
00000000000000000556_0,0,0.1927,0.1447,0.1582,0.1311,0.1533,0.12825,0.1408,0.1061,0.143,0.09885
00000000000000000570_0,0,0.1084,0.11635,0.1119,0.1182,0.10085,0.1153,0.1107,0.1195,0.1107,0.1196
0000000000000000010d_0,0,0.1321,0.1161,0.1414,0.1104,0.13115,0.1513,0.146,0.0883,0.1379,0.04485
00000000000000000534_0,0,0.0627,0.04255,0.0645,0.0447,0.04445,0.0396,0.0892,0.0491,0.0912,0.0356
0000000000000000058a_0,0,0.1378,0.14265,0.1624,0.16125,0.16265,0.1539,0.1694,0.182,0.1835,0.1697
