system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000191_0,0.13664,0.17972,0,0.11424,0.16524,0.0897600000000001,0.07436,0.1238,0.14025,0,0.07965,0.11645,0.0404,0.0283
00000000000000000194_0,0.07668,0.1108,0,0.0506,0.0778,0.04844,0.0465200000000001,0.1022,0.121,0,0.0689,0.1008,0.0621,0.0518
00000000000000000195_0,0.0819200000000001,0.12348,0,0.30012,0.12972,0.27592,0.16272,0.08055,0.0954,0,0.2935,0.0858,0.24845,0.14895
00000000000000000196_0,0.0475200000000001,0.0846400000000001,0,0.48256,0.0644400000000001,0.21024,0.0915200000000001,0.0376,0.0497,0,0.3167,0.0376,0.1478,0.0629
00000000000000000198_0,0.08358,0.12738,0,0.32846,0.15454,0.35396,0.26294,0.0716,0.1035,0,0.24815,0.1261,0.2726,0.2219
00000000000000000199_0,0.07192,0.11928,0,0.16204,0.1072,0.10012,0.06692,0.0529,0.0774,0,0.1516,0.0743,0.0866,0.0535
0000000000000000019b_0,0.0788800000000001,0.11372,0,0.2514,0.09884,0.19144,0.11528,0.0552,0.07285,0,0.2347,0.06205,0.13885,0.07835
0000000000000000019d_0,0.0467600000000001,0.0846000000000001,0,0.25956,0.0839600000000001,0.19106,0.10794,0.05995,0.0725,0,0.17595,0.07685,0.1567,0.09925
0000000000000000019e_0,0.1478,0.18776,0,0.32384,0.20564,0.35652,0.31788,0.10375,0.11675,0,0.1884,0.12195,0.21365,0.19325
000000000000000001a3_0,0.0625200000000001,0.08956,0,0.43228,0.0609600000000001,0.22796,0.0996000000000001,0.02575,0.05515,0,0.34055,0.0295,0.1724,0.07745
000000000000000001a6_0,0.04062,0.0788200000000001,0,0.18558,0.0551000000000001,0.12022,0.0675800000000001,0.0434,0.0728,0,0.1623,0.0466,0.0997,0.0508
