system:index,landcover,19-1_nir,19-2_nir,20-1_nir,20-2_nir,21-1_nir,21-2_nir,22-1_nir,22-2_nir,23-1_nir,23-2_nir
000000000000000004c7_0,0,0.089,0.0522,0.05285,0.05945,0.04705,0.0401,0.0704,0.0474,0.0657,0.0385
000000000000000000d1_0,0,0.1867,0.34395,0.2677,0.30945,0.2392,0.3668,0.241,0.2917,0.1715,0.33855
00000000000000000a35_0,0,0.3981,0.1383,0.1845,0.31465,0.2626,0.3764,0.21775,0.3419,0.2876,0.3903
00000000000000000091_0,0,0.32595,0.3315,0.2622,0.334,0.2706,0.3964,0.30865,0.42665,0.38285,0.4085
00000000000000000193_0,0,0.1524,0.102,0.0744,0.128,0.1042,0.1072,0.0734,0.1067,0.089,0.0572
00000000000000000443_0,0,0.4071,0.3432,0.4052,0.35645,0.2911,0.37785,0.33925,0.4232,0.3377,0.3507
00000000000000000500_0,0,0.38305,0.3607,0.3032,0.4039,0.2818,0.41835,0.3173,0.33405,0.3497,0.3753
00000000000000000577_0,0,0.31585,0.2375,0.2577,0.2419,0.264,0.2994,0.2449,0.33405,0.292,0.2168
000000000000000008fe_0,0,0.27115,0.368,0.3433,0.39535,0.23005,0.3394,0.3476,0.4667,0.3043,0.4255
00000000000000000127_0,0,0.0381,0.0165,0.0197,0.02225,0.0171,0.0133,0.0111,0.0219,0.0567,0.0147
00000000000000000478_0,0,0.3015,0.336,0.3209,0.3486999999999999,0.3083,0.3115,0.2822,0.32615,0.3104,0.3623
000000000000000005cb_0,0,0.4161,0.2722,0.2304,0.2663,0.21235,0.25075,0.1473,0.1774,0.23465,0.1759
0000000000000000003e_0,0,0.0606,0.06105,0.0478,0.03775,0.039,0.06675,0.0366,0.0453,0.0653,0.0341
00000000000000000065_0,0,0.26345,0.2996,0.2777,0.3707,0.27185,0.3632,0.3049,0.42955,0.2934,0.2845
00000000000000000877_0,0,0.0382,0.10355,0.0551,0.0449,0.0932,0.03855,0.1802,0.0546,0.1056,0.0326
0000000000000000005e_0,0,0.1871,0.3755,0.329,0.3895,0.3551,0.1855,0.2732,0.1427,0.2428,0.1709
000000000000000000e6_0,0,0.3038,0.2828,0.2811,0.346,0.2755,0.31365,0.2689,0.3555,0.2954,0.3207
00000000000000000164_0,0,0.1102,0.127,0.0901,0.1367,0.0881,0.1311,0.082,0.113,0.1063,0.1455
00000000000000000192_0,0,0.3168,0.3019,0.2471,0.3179,0.27685,0.33065,0.2561,0.2266,0.191,0.2718
0000000000000000052d_0,0,0.02495,0.02,0.0171,0.0179,0.0166,0.0183,0.0165,0.0201,0.0392,0.0145
00000000000000000050_0,0,0.27985,0.3193,0.26865,0.2995,0.2998,0.3329,0.2932,0.4533,0.3205,0.3729
0000000000000000047b_0,0,0.3574,0.3079,0.33495,0.376,0.3314,0.3018,0.33025,0.3361,0.3187,0.32795
00000000000000000543_0,0,0.0475,0.0188,0.0063,0.0457,0.0091,0.0081,0.1183,0.0116,0.0458,0.0074
00000000000000000566_0,0,0.4308,0.3659,0.342,0.3832,0.2097,0.26385,0.404,0.31605,0.4876,0.1547
000000000000000004e2_0,0,0.0854999999999999,0.0859,0.0739,0.0565,0.0435,0.09,0.1355,0.1329,0.10765,0.059
00000000000000000488_0,0,0.2966,0.2283,0.191,0.2747499999999999,0.29465,0.17705,0.1613,0.23125,0.24375,0.2719
