system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
00000000000000000486_0,0,0.0396,0.04695,0.0325,0.0428,0.04305,0.04015,0.0479,0.03475,0.0825,0.0473
00000000000000000519_0,0,0.0616,0.04895,0.0325,0.0529,0.0524,0.0446,0.0481,0.05115,0.1025,0.0517
00000000000000000082_0,0,0.0435,0.03975,0.0328,0.0384,0.0483,0.0341,0.0492,0.0307,0.1197,0.0336
000000000000000000f8_0,0,0.04185,0.04655,0.0332,0.0427,0.0598,0.03855,0.0587,0.0394,0.1085,0.0494
00000000000000000112_0,0,0.0385,0.04465,0.0332999999999999,0.0543,0.0638,0.07735,0.086,0.0602,0.0712,0.0624
00000000000000000126_0,0,0.04875,0.03585,0.0332999999999999,0.0406,0.0402,0.0356,0.0369,0.0315,0.0422,0.0406
000000000000000004a4_0,0,0.04255,0.0452,0.0332999999999999,0.0425,0.0422,0.0394,0.0372,0.0252,0.0378,0.0393
0000000000000000093e_0,0,0.09145,0.04015,0.0332999999999999,0.03715,0.0657,0.029,0.0638,0.0278,0.0379,0.0374
000000000000000008a6_0,0,0.03585,0.0438,0.0335499999999999,0.0353,0.03085,0.0284,0.0368,0.0294,0.0324,0.0338
00000000000000000021_0,0,0.0214,0.0256,0.0336,0.03,0.0268,0.0166499999999999,0.09655,0.02115,0.02005,0.00935
00000000000000000433_0,0,0.05065,0.0364,0.0336,0.0176,0.0353,0.0238,0.03505,0.03465,0.02645,0.0241
000000000000000008b2_0,0,0.0532,0.0357,0.0336,0.0388,0.035,0.0291,0.0328,0.0272,0.0374,0.03405
000000000000000008d2_0,0,0.06295,0.04645,0.03365,0.0515,0.06405,0.04315,0.0537,0.0438,0.0535,0.051
0000000000000000001d_0,0,0.0372,0.0441,0.0338,0.0321,0.03435,0.0354,0.0384,0.0375,0.1124,0.034
0000000000000000043e_0,0,0.038,0.023,0.034,0.0261,0.0344,0.0365,0.0586,0.0381,0.0234,0.0274
00000000000000000453_0,0,0.04605,0.0332,0.034,0.03345,0.0404,0.0347,0.0497,0.03475,0.0644,0.0264
000000000000000005b8_0,0,0.0676,0.03615,0.0341,0.0896,0.15865,0.1855,0.1802,0.2225,0.1805,0.1114
00000000000000000084_0,0,0.0395,0.0361,0.0342,0.03785,0.0346,0.0311,0.0329,0.0279,0.0565,0.0361
00000000000000000475_0,0,0.03805,0.03275,0.0342,0.0391,0.0354,0.031,0.0346,0.0296,0.0355,0.0296
0000000000000000004d_0,0,0.0383,0.0409,0.03425,0.0439,0.03305,0.032,0.02685,0.0189,0.0721,0.0339
0000000000000000045b_0,0,0.0281,0.0278,0.0346,0.03125,0.0322,0.0264,0.0262,0.0202,0.0294,0.028
000000000000000000d4_0,0,0.0334,0.04095,0.0347,0.039,0.0399,0.0412,0.0416,0.03525,0.0521,0.0351
000000000000000004a5_0,0,0.0642,0.042,0.03475,0.0422,0.05005,0.0404,0.0503,0.034,0.1392,0.0326
00000000000000000070_0,0,0.0412,0.02465,0.0349,0.0443,0.03505,0.02735,0.02735,0.026,0.0259,0.02825
00000000000000000157_0,0,0.04015,0.03485,0.035,0.05215,0.05,0.07525,0.0714,0.0513999999999999,0.0792,0.0534
00000000000000000447_0,0,0.0354,0.0307,0.0351,0.0323,0.03345,0.02975,0.0366,0.0299,0.0486,0.0316
00000000000000000460_0,0,0.03495,0.0305,0.0351,0.0341,0.03395,0.034,0.0255,0.03255,0.04635,0.0209
0000000000000000043f_0,0,0.0316,0.0309,0.0352,0.0276,0.0289,0.029,0.0363,0.0291,0.0809,0.112
00000000000000000483_0,0,0.0403,0.0338,0.0353,0.0385,0.03295,0.02855,0.02405,0.0242,0.0589,0.0259
00000000000000000086_0,0,0.0567,0.0417,0.0353,0.0462,0.05245,0.0342,0.0429,0.0519,0.0724,0.0295
000000000000000004d7_0,0,0.0355,0.042,0.03535,0.04705,0.04085,0.0354,0.0321,0.0292,0.07445,0.0376
000000000000000004c3_0,0,0.0428,0.05735,0.0354,0.0471,0.0583,0.047,0.038,0.0371,0.0492,0.0466
00000000000000000467_0,0,0.0365,0.0393,0.0355,0.0361,0.0366,0.0264,0.0297,0.0569,0.04,0.0336
00000000000000000454_0,0,0.0279,0.0323,0.0356,0.02835,0.03175,0.0447,0.0444,0.0221,0.0277,0.0254
000000000000000000c9_0,0,0.0384,0.0467,0.0357,0.0416,0.056,0.03235,0.0386,0.03525,0.0483,0.0504
0000000000000000049b_0,0,0.03335,0.044,0.0358,0.0464,0.0551,0.0408,0.0581,0.0433,0.0677,0.0729
000000000000000004c4_0,0,0.0393,0.0441,0.0358,0.0451,0.047,0.0379,0.0761,0.0538,0.0596,0.0468
00000000000000000959_0,0,0.131,0.02815,0.0358,0.0237,0.09905,0.02705,0.0178,0.0229,0.01755,0.0144
00000000000000000a58_0,0,0.03525,0.0361,0.0358,0.0451,0.04945,0.04905,0.0453,0.0248,0.0557,0.0305
00000000000000000474_0,0,0.031,0.0268,0.0359,0.0377,0.0406,0.0386,0.0402,0.03615,0.0584,0.0353
000000000000000000cc_0,0,0.0521,0.0504,0.036,0.0547,0.0493,0.0566,0.0481,0.0414,0.0764,0.0709
00000000000000000105_0,0,0.04135,0.04745,0.036,0.0475,0.0447,0.0353,0.0453,0.0341,0.046,0.0395
00000000000000000016_0,0,0.0415,0.0237,0.0362,0.03135,0.0304,0.03175,0.0589,0.024,0.0485,0.02225
0000000000000000045f_0,0,0.0561,0.03465,0.0362,0.0343,0.0319,0.0345,0.0403,0.0251,0.0336,0.0292
00000000000000000009_0,0,0.035,0.02675,0.0363,0.0199,0.028,0.0204,0.02115,0.0268,0.0128,0.0092
0000000000000000000d_0,0,0.0447,0.0348,0.0364,0.0207,0.0288,0.024,0.0397,0.0186,0.0308,0.017
00000000000000000011_0,0,0.0411,0.0398,0.0364,0.0388,0.0398,0.0386,0.035,0.0327,0.06185,0.018
0000000000000000095a_0,0,0.03375,0.0314,0.0364,0.0385,0.0319,0.0316,0.0319,0.03345,0.027,0.029
0000000000000000095b_0,0,0.04735,0.04795,0.0364,0.0422,0.0339,0.0390999999999999,0.0404,0.0311,0.0343,0.0353
0000000000000000009a_0,0,0.0443,0.0429,0.0369,0.039,0.0462,0.0301,0.0457,0.036,0.0503,0.0416
00000000000000000477_0,0,0.03765,0.03975,0.0369,0.0375,0.0346,0.02645,0.0443,0.0407,0.0365,0.0361
