system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
000000000000000004e7_0,0,0.0714,0.0487,0.04575,0.0714,0.101,0.0474,0.0854,0.0299,0.0931,0.0491
0000000000000000049a_0,0,0.0399,0.0357,0.0311,0.0404,0.03995,0.0246,0.0382,0.0344,0.0495,0.0274
00000000000000000479_0,0,0.05335,0.0498,0.0513999999999999,0.0508,0.0698,0.0388,0.0646,0.0413,0.0617,0.0652
00000000000000000029_0,0,0.0649,0.0583,0.0462,0.0448,0.0328,0.028,0.0362,0.0564,0.0585,0.0454
000000000000000008b6_0,0,0.0331,0.02685,0.0321,0.0309,0.03205,0.0285,0.0256999999999999,0.0173,0.0279,0.02085
00000000000000000032_0,0,0.0322,0.0687,0.0407,0.0539,0.047,0.06215,0.0431,0.04245,0.0943,0.0359
00000000000000000033_0,0,0.0394,0.0409,0.0375,0.03845,0.0407,0.0326,0.0411,0.0438,0.0599,0.0316
00000000000000000139_0,0,0.0327,0.08305,0.0489,0.0838,0.0685,0.05435,0.0487,0.0384,0.0723,0.0743
00000000000000000144_0,0,0.0344,0.052,0.0307,0.0843,0.08315,0.069,0.1022,0.10985,0.1312,0.1275
0000000000000000046d_0,0,0.0777,0.0384,0.044,0.0441,0.0631,0.04465,0.0591,0.04915,0.0819,0.0475
00000000000000000473_0,0,0.07,0.0619,0.0646,0.0528,0.0715499999999999,0.0504,0.062,0.0517,0.0699,0.0478
00000000000000000461_0,0,0.0357,0.03695,0.0423,0.05575,0.04995,0.1321,0.1323,0.1623,0.0991,0.1732
0000000000000000006c_0,0,0.04915,0.0507,0.052,0.0525,0.0575,0.057,0.0707,0.03335,0.0705,0.035
000000000000000004cf_0,0,0.18115,0.0417,0.0398,0.0405,0.12515,0.0337,0.1341,0.05255,0.194,0.0741
00000000000000000a30_0,0,0.0366,0.0274,0.03225,0.0393,0.04035,0.03735,0.04265,0.0366,0.04275,0.02595
00000000000000000494_0,0,0.0567,0.0513999999999999,0.0429,0.0448,0.0747,0.04425,0.0567,0.0669,0.084,0.0752
000000000000000004e1_0,0,0.0481,0.0494,0.0454,0.0472,0.0405,0.0368,0.0454,0.0524,0.0553,0.0385
0000000000000000001b_0,0,0.0507,0.0513999999999999,0.05265,0.03715,0.0388,0.03675,0.0272,0.0297,0.0598,0.0278
0000000000000000003f_0,0,0.0559,0.0377,0.0251,0.0364,0.0327,0.0299,0.0349,0.0332999999999999,0.0463,0.0212
00000000000000000056_0,0,0.0552,0.0329,0.0417,0.03485,0.039,0.0296,0.0296,0.0266,0.1008,0.0367
00000000000000000085_0,0,0.0797,0.03595,0.0262,0.0386,0.0241,0.0244,0.0178,0.0254,0.0806,0.0237
00000000000000000469_0,0,0.0429,0.0252,0.0309,0.0271,0.0597,0.0166,0.0297,0.02355,0.0597,0.0275
0000000000000000002a_0,0,0.0455,0.03575,0.0361,0.0288,0.03575,0.0367,0.0339,0.0312,0.0504,0.0294
00000000000000000445_0,0,0.0626,0.0502,0.0524,0.0464,0.0526,0.04535,0.045,0.04,0.0484,0.0259
000000000000000001e2_0,0,0.08695,0.0636,0.0428,0.0741,0.06895,0.0637,0.084,0.0701,0.0952,0.0466
000000000000000000c7_0,0,0.071,0.0432,0.0505,0.04505,0.0577,0.0382,0.0431,0.03885,0.0735,0.0374
00000000000000000464_0,0,0.0385,0.03705,0.03375,0.0349,0.03625,0.032,0.0313,0.0268,0.0533,0.025
0000000000000000049c_0,0,0.0433,0.05545,0.057,0.054,0.0584,0.0423,0.0451,0.0359,0.0544,0.0427
0000000000000000048b_0,0,0.0597,0.0437,0.0517,0.0564,0.0773,0.05545,0.0717,0.0346,0.0933,0.0496
00000000000000000028_0,0,0.0411,0.0485,0.0432,0.0362,0.0477,0.03675,0.04755,0.05885,0.0835,0.0424
00000000000000000123_0,0,0.0545,0.0551,0.0444,0.05665,0.0509,0.0505,0.0706,0.05655,0.0704,0.0469
00000000000000000452_0,0,0.0357,0.03585,0.0306,0.0336,0.0311,0.0329,0.0594,0.0548,0.0713,0.0574
0000000000000000003c_0,0,0.0912,0.02995,0.0279,0.0297,0.0199,0.024,0.0218,0.03865,0.0627,0.0316
00000000000000000912_0,0,0.0407,0.0258333333333333,0.0336,0.02585,0.042,0.0258,0.0322999999999999,0.0242,0.0339,0.02385
000000000000000004dd_0,0,0.05345,0.04595,0.0313,0.0526,0.0467,0.0266,0.0316,0.0354,0.0356,0.0746
00000000000000000523_0,0,0.0392,0.0296,0.0277,0.069,0.03585,0.03385,0.0429,0.0369,0.0827,0.0282
00000000000000000034_0,0,0.04445,0.04705,0.05,0.0461,0.0757,0.0424,0.0482,0.0406,0.0606,0.0326
0000000000000000006f_0,0,0.0431,0.0527,0.0311,0.0445,0.0712,0.037,0.0469,0.0631,0.0676,0.0637
0000000000000000000b_0,0,0.03295,0.04275,0.0329,0.0334,0.0436,0.0623,0.0937,0.0482,0.0546,0.0529
00000000000000000073_0,0,0.06505,0.0494,0.0636,0.0519,0.0579,0.0528,0.0764999999999999,0.082,0.1221,0.0651
00000000000000000035_0,0,0.0469,0.0438,0.04245,0.052,0.05205,0.0468,0.0637,0.1391,0.1331999999999999,0.032
000000000000000004d1_0,0,0.0846,0.0288,0.0387,0.05705,0.0388,0.01935,0.03795,0.04515,0.0488,0.0303
0000000000000000009d_0,0,0.1091,0.0485,0.0398,0.04,0.0852,0.035,0.0996,0.162,0.0563,0.0201
0000000000000000003b_0,0,0.0655,0.0295,0.0373,0.035,0.0347,0.02375,0.0397,0.0296,0.0834,0.0217
0000000000000000082b_0,0,0.0547,0.054,0.0556,0.0463,0.0561,0.0499,0.0489,0.0548499999999999,0.0784,0.0457
000000000000000000ed_0,0,0.0555,0.048,0.0513,0.0636,0.0443,0.04035,0.06105,0.0457,0.0506,0.0286
00000000000000000958_0,0,0.03535,0.0367,0.03515,0.0364499999999999,0.04035,0.0342,0.0475,0.0319,0.04385,0.0341
00000000000000000492_0,0,0.05025,0.0399,0.03325,0.0384,0.0407,0.045,0.0772,0.10375,0.0877,0.05
000000000000000004d4_0,0,0.0749,0.06025,0.0789,0.1065,0.0814,0.082,0.0978499999999999,0.0972,0.0728,0.038
0000000000000000047c_0,0,0.0383,0.0313,0.0324,0.0326,0.0344,0.0275,0.0505,0.0359,0.0615,0.0188
0000000000000000004c_0,0,0.0316,0.0336,0.0354,0.0329,0.0653,0.0429,0.06,0.03495,0.05365,0.0455
00000000000000000075_0,0,0.0394,0.0467,0.0437,0.0357,0.0287,0.0346,0.0375,0.0277,0.0505,0.0274
00000000000000000046_0,0,0.0429,0.0405,0.0331,0.0654,0.0614,0.04525,0.0495,0.0435,0.0567,0.0367
00000000000000000019_0,0,0.04965,0.0443,0.0465,0.041,0.0408,0.0278,0.0341,0.0262,0.0703,0.0362
00000000000000000071_0,0,0.1381,0.1118,0.0954,0.1083,0.0856,0.1419,0.145,0.1505,0.118,0.1093
000000000000000000b7_0,0,0.0288,0.0523,0.0437,0.0516,0.05895,0.0458,0.0634,0.05645,0.0904,0.0444
0000000000000000043d_0,0,0.0674,0.0417,0.0417,0.04085,0.0354,0.0362,0.0345,0.0548,0.0856,0.0511
00000000000000000486_0,0,0.05555,0.05135,0.0565,0.0529,0.0624,0.04925,0.061,0.03965,0.0825,0.0736
00000000000000000519_0,0,0.06875,0.0534,0.0503,0.0583,0.0555,0.0517,0.0526,0.0592,0.0955,0.0563
00000000000000000082_0,0,0.0698,0.05645,0.0692,0.0537,0.0739,0.0479,0.0616,0.0469,0.11865,0.0457
000000000000000000f8_0,0,0.06085,0.05155,0.0671,0.0607,0.0981,0.05055,0.084,0.0576,0.1029,0.0635
