system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
0000000000000000008c_0,0.07985,0.0998,0,0.12405000000000000,0.08565,0.060700000000000000,0.030600000000000000
0000000000000000008d_0,0.07605,0.08560000000000000,0,0.038850000000000000,0.0606,0.024900000000000000,0.016
0000000000000000008e_0,0.07820000000000000,0.1015,0,0.09330000000000000,0.09540000000000000,0.0684,0.0444
0000000000000000008f_0,0.0879,0.1131,0,0.032,0.08410000000000000,0.0236,0.0213
00000000000000000090_0,0.1643,0.2379,0,0.3065,0.2787,0.33330000000000000,0.29760000000000000
00000000000000000091_0,0.0845,0.1037,0,0.2237,0.09480000000000000,0.18380000000000000,0.11910000000000000
00000000000000000093_0,0.07425000000000000,0.1033,0,0.028650000000000000,0.07845,0.0204,0.0148
00000000000000000095_0,0.06185,0.07550000000000000,0,0.2162,0.08615,0.23765,0.1553
00000000000000000096_0,0.08420000000000000,0.1482,0,0.1893,0.1263,0.15860000000000000,0.1008
00000000000000000099_0,0.033550000000000000,0.05215,0,0.3287,0.04045,0.1912,0.0976
0000000000000000009a_0,0.09960000000000000,0.13620000000000000,0,0.1353,0.1423,0.1009,0.0596
0000000000000000009b_0,0.0599,0.07970000000000000,0,0.19540000000000000,0.0922,0.2354,0.1648
0000000000000000009e_0,0.039400000000000000,0.06960000000000000,0,0.3446,0.0379,0.1719,0.0877
000000000000000000a1_0,0.0254,0.0509,0,0.27390000000000000,0.02875,0.1401,0.06570000000000000
000000000000000000a4_0,0.0727,0.0878,0,0.2232,0.0748,0.14750000000000000,0.10110000000000000
000000000000000000a5_0,0.07780000000000000,0.10020000000000000,0,0.032100000000000000,0.06860000000000000,0.015000000000000000,0.0098
000000000000000000a6_0,0.07750000000000000,0.09485,0,0.29290000000000000,0.07420000000000000,0.2069,0.12675
000000000000000000a7_0,0.0488,0.0656,0,0.1718,0.051500000000000000,0.11380000000000000,0.06760000000000000
000000000000000000a9_0,0.08800000000000000,0.0959,0,0.21760000000000000,0.0858,0.1419,0.0804
000000000000000000ab_0,0.13030000000000000,0.15385,0,0.0908,0.13135000000000000,0.050850000000000000,0.036750000000000000
000000000000000000ac_0,0.0843,0.10300000000000000,0,0.035300000000000000,0.07980000000000000,0.0206,0.0172
000000000000000000ad_0,0.033600000000000000,0.051300000000000000,0,0.2838,0.062,0.2293,0.1389
000000000000000000ae_0,0.09355,0.11395,0,0.0325,0.08910000000000000,0.01165,0.007300000000000000
000000000000000000b0_0,0.059500000000000000,0.0892,0,0.31470000000000000,0.0765,0.2053,0.11660000000000000
000000000000000000b2_0,0.0776,0.10145000000000000,0,0.19670000000000000,0.1026,0.19690000000000000,0.13425
000000000000000000b3_0,0.027600000000000000,0.052500000000000000,0,0.318,0.032100000000000000,0.15480000000000000,0.0718
000000000000000000b4_0,0.0756,0.10690000000000000,0,0.1965,0.12715,0.2449,0.1791
000000000000000000b5_0,0.084,0.10345000000000000,0,0.125,0.11020000000000000,0.09580000000000000,0.07470000000000000
000000000000000000b6_0,0.039900000000000000,0.0543,0,0.0033,0.0154,0.0035,0.0041
000000000000000000b7_0,0.0873,0.1115,0,0.031400000000000000,0.0751,0.0245,0.020300000000000000
000000000000000000b8_0,0.0395,0.07060000000000000,0,0.3321,0.0419,0.1855,0.0896
