,Sentinel-2,,,Landsat-8,,,,,,,
607,0.477,,,,,,,,,,
608,0.331,,,,,,,,,,
609,0.417,,,,,,,,,,
610,0.615,,,,,,,,,,
611,0.491,,,,,,,,,,
612,0.384,,,,,,,,,,
613,0.45,,,,,,,,,,
614,0.585,,,,,,,,,,
615,0.283,,,,,,,,,,
616,0.325,,,,,,,,,,
617,0.629,,,,,,,,,,
618,0.155,,,,,,,,,,
619,0.267,,,,,,,,,,
620,0.307,,,,,,,,,,
621,0.199,,,,,,,,,,
622,0.162,,,,,,,,,,
623,0.151,,,,,,,,,,
624,0.285,,,,,,,,,,
625,0.224,,,,,,,,,,
626,0.229,,,,,,,,,,
627,0.26,,,,,,,,,,
628,0.374,,,,,,,,,,
629,0.572,,,,,,,,,,
630,0.659,,,,,,,,,,
631,0.623,,,,,,,,,,
632,0.629,,,,,,,,,,
633,0.365,,,,,,,,,,
634,0.631,,,,,,,,,,
635,0.368,,,,,,,,,,
636,0.342,,,,,,,,,,
637,0.314,,,,,,,,,,
638,0.584,,,,,,,,,,
639,0.393,,,,,,,,,,
640,0.454,,,,,,,,,,
641,0.6,,,,,,,,,,
642,0.444,,,,,,,,,,
643,0.486,,,,,,,,,,
644,0.564,,,,,,,,,,
645,0.314,,,,,,,,,,
646,0.39,,,,,,,,,,
647,0.578,,,,,,,,,,
648,0.609,,,,,,,,,,
649,0.401,,,,,,,,,,
650,0.318,,,,,,,,,,
651,0.588,,,,,,,,,,
652,0.411,,,,,,,,,,
653,0.449,,,,,,,,,,
654,0.595,,,,,,,,,,
655,0.525,,,,,,,,,,
656,0.577,,,,,,,,,,
657,0.536,,,,,,,,,,
658,0.646,,,,,,,,,,
659,0.411,,,,,,,,,,
660,0.355,,,,,,,,,,
661,0.537,,,,,,,,,,
662,0.412,,,,,,,,,,
663,0.419,,,,,,,,,,
664,0.573,,,,,,,,,,
665,0.468,,,,,,,,,,
666,0.154,,,,,,,,,,
667,0.168,,,,,,,,,,
668,0.314,,,,,,,,,,
669,0.803,,,,,,,,,,
670,0.585,,,,,,,,,,
671,0.347,,,,,,,,,,
672,0.636,,,,,,,,,,
673,0.3,,,,,,,,,,
674,0.245,,,,,,,,,,
675,0.3,,,,,,,,,,
676,0.614,,,,,,,,,,
677,0.474,,,,,,,,,,
678,0.375,,,,,,,,,,
679,0.448,,,,,,,,,,
680,0.603,,,,,,,,,,
681,0.499,,,,,,,,,,
682,0.412,,,,,,,,,,
683,0.48,,,,,,,,,,
684,0.564,,,,,,,,,,
685,0.288,,,,,,,,,,
686,0.389,,,,,,,,,,
687,0.617,,,,,,,,,,
688,0.387,,,,,,,,,,
689,0.343,,,,,,,,,,
690,0.351,,,,,,,,,,
691,0.633,,,,,,,,,,
692,0.472,,,,,,,,,,
693,0.403,,,,,,,,,,
694,0.47,,,,,,,,,,
695,0.597,,,,,,,,,,
696,0.449,,,,,,,,,,
697,0.415,,,,,,,,,,
698,0.484,,,,,,,,,,
699,0.555,,,,,,,,,,
700,0.296,,,,,,,,,,
701,0.256,,,,,,,,,,
702,0.369,,,,,,,,,,
703,0.608,,,,,,,,,,
704,0.311,,,,,,,,,,
705,0.622,,,,,,,,,,
706,0.333,,,,,,,,,,
707,0.49,,,,,,,,,,
708,0.653,,,,,,,,,,
709,0.63,,,,,,,,,,
710,0.783,,,,,,,,,,
711,0.767,,,,,,,,,,
712,0.445,,,,,,,,,,
713,0.17,,,,,,,,,,
714,0.264,,,,,,,,,,
715,0.534,,,,,,,,,,
716,0.471,,,,,,,,,,
717,0.456,,,,,,,,,,
718,0.135,,,,,,,,,,
719,0.296,,,,,,,,,,
720,0.15,,,,,,,,,,
721,0.548,,,,,,,,,,
722,0.151,,,,,,,,,,
723,0.343,,,,,,,,,,
724,0.586,,,,,,,,,,
725,0.138,,,,,,,,,,
726,0.085,,,,,,,,,,
727,0.466,,,,,,,,,,
728,0.241,,,,,,,,,,
729,0.433,,,,,,,,,,
730,0.622,,,,,,,,,,
731,0.434,,,,,,,,,,
732,0.535,,,,,,,,,,
733,0.192,,,,,,,,,,
734,0.269,,,,,,,,,,
735,0.594,,,,,,,,,,
736,0.131,,,,,,,,,,
737,0.198,,,,,,,,,,
738,0.306,,,,,,,,,,
739,0.375,,,,,,,,,,
740,0.391,,,,,,,,,,
741,0.411,,,,,,,,,,
742,0.507,,,,,,,,,,
743,0.23,,,,,,,,,,
744,0.194,,,,,,,,,,
745,0.287,,,,,,,,,,
746,0.549,,,,,,,,,,
747,0.182,,,,,,,,,,
748,0.331,,,,,,,,,,
749,0.199,,,,,,,,,,
750,0.423,,,,,,,,,,
751,0.552,,,,,,,,,,
752,0.225,,,,,,,,,,
753,0.345,,,,,,,,,,
754,0.551,,,,,,,,,,
755,0.384,,,,,,,,,,
756,0.423,,,,,,,,,,
757,0.242,,,,,,,,,,
758,0.211,,,,,,,,,,
759,0.381,,,,,,,,,,
760,0.221,,,,,,,,,,
761,0.35,,,,,,,,,,
762,0.233,,,,,,,,,,
763,0.46,,,,,,,,,,
764,0.76,,,,,,,,,,
765,0.155,,,,,,,,,,
766,0.137,,,,,,,,,,
767,0.318,,,,,,,,,,
768,0.698,,,,,,,,,,
769,0.53,,,,,,,,,,
770,0.28,,,,,,,,,,
771,0.44,,,,,,,,,,
772,0.669,,,,,,,,,,
773,0.538,,,,,,,,,,
774,0.347,,,,,,,,,,
775,0.495,,,,,,,,,,
776,0.661,,,,,,,,,,
777,0.117,,,,,,,,,,
778,0.323,,,,,,,,,,
779,0.639,,,,,,,,,,
780,0.494,,,,,,,,,,
781,1.051,,,,,,,,,,
782,0.542,,,,,,,,,,
783,0.444,,,,,,,,,,
784,0.624,,,,,,,,,,
785,0.519,,,,,,,,,,
786,0.341,,,,,,,,,,
787,0.418,,,,,,,,,,
788,0.29,,,,,,,,,,
789,0.28,,,,,,,,,,
790,0.401,,,,,,,,,,
791,0.407,,,,,,,,,,
792,0.229,,,,,,,,,,
793,0.258,,,,,,,,,,
794,0.37,,,,,,,,,,
795,0.605,,,,,,,,,,
796,0.415,,,,,,,,,,
797,0.795,,,,,,,,,,
798,0.354,,,,,,,,,,
799,0.392,,,,,,,,,,
800,0.424,,,,,,,,,,
801,0.691,,,,,,,,,,
802,0.749,,,,,,,,,,
803,0.416,,,,,,,,,,
804,0.543,,,,,,,,,,
805,0.584,,,,,,,,,,
806,0.551,,,,,,,,,,
807,0.501,,,,,,,,,,
808,0.624,,,,,,,,,,
809,0.634,,,,,,,,,,
810,0.269,,,,,,,,,,
811,0.499,,,,,,,,,,
812,0.181,,,,,,,,,,
813,0.171,,,,,,,,,,
814,0.367,,,,,,,,,,
815,0.568,,,,,,,,,,
816,0.324,,,,,,,,,,
817,0.635,,,,,,,,,,
818,0.603,,,,,,,,,,
